Designator,Mid X,Mid Y,Rotation,Layer
D1,147.6375,-97.63625,90.0,bottom
D10,157.1625,-121.44875,90.0,bottom
D2,157.1625,-105.57375,90.0,bottom
D3,157.1625,-93.6675,90.0,bottom
D4,147.6375,-109.5425,90.0,bottom
D5,147.6375,-89.69875,90.0,bottom
D6,157.1625,-113.51125,90.0,bottom
D7,157.1625,-85.73,90.0,bottom
D8,147.6375,-117.48,90.0,bottom
D9,147.6375,-81.76125,90.0,bottom
FID1,144.272,-79.248,0.0,top
FID2,160.782,-123.952,0.0,top
FID3,144.272,-101.6,0.0,top
J1,152.4,-82.804,90.0,top
J2,152.4,-120.396,270.0,top
R1,152.4,-100.457,0.0,top
R10,152.4,-111.887,180.0,top
R2,152.4,-102.743,180.0,top
R3,152.4,-98.171,180.0,top
R4,152.4,-105.029,0.0,top
R5,152.4,-95.885,0.0,top
R6,152.4,-107.315,180.0,top
R7,152.4,-93.599,180.0,top
R8,152.4,-109.601,0.0,top
R9,152.4,-91.313,0.0,top
